Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Longitud Reserva;Texto Cajetines;Longitud;Latitud
439578,74;4473497,17;30/09/2022;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;3;CargayDescarga 360;Línea;2;8,74;LABORABLES DE 8 A 14 H.Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA MÁX 45 MIN;-3,712116237;40,40990061
439873,76;4474393,87;23/08/2022;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;1;CargayDescarga 360;Línea;4;22,5;PERMITIDO CARGA Y DESCARGA DE 0 A 11 H. MÁX 45 MIN.;-3,708724098;40,41800017
439884,64;4474417,84;23/08/2022;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;3;CargayDescarga 360;Línea;6;29,2;PERMITIDO CARGA Y DESCARGA DE 7 A 11 H. MÁX 45 MIN.;-3,708598219;40,41821646
439707,32;4474504,16;26/08/2022;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;7;CargayDescarga 360;Línea;2;10,5;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN.;-3,710696276;40,41898101
439759,66;4474466,5;26/08/2022;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;4;CargayDescarga 360;Línea;3;32;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA. MAX 45 MIN.;-3,710075877;40,41864606
439480,44;4473482,18;26/08/2022;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;CargayDescarga 360;Línea;3;15;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,713273326;40,40975869
439721,96;4473413,3;14/11/2022;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;3;CargayDescarga 360;Línea;3;16,07;LABORABLES DE 8 A 14 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,710420397;40,40915542
439821,1;4474502,17;02/11/2022;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;5;CargayDescarga 360;Línea;3;15;TODOS LOS DÍAS 24 HORAS, EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,709355154;40,41897127
439831,57;4474566,38;14/11/2022;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;15;CargayDescarga 360;Línea;3;15,9;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN.;-3,709237698;40,41955025
439728,41;4473715,03;29/08/2022;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;40;CargayDescarga 360;Línea;3;15,4;LAB DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN.;-3,710373071;40,41187433
439869,88;4474111,08;29/08/2022;01  CENTRO;01-01 PALACIO;CAVA DE SAN MIGUEL, CALLE, DE LA;3;CargayDescarga 360;Línea;2;10,68;LABORABLES DE 8 A 14 H. Y DE 16:30 A 20 H. ESCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,708743178;40,41545228
439844,1;4473656,26;29/08/2022;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;3;CargayDescarga 360;Línea;5;26;LABORABLES DE 8 A14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,709003988;40,411353
439755,27;4473658,97;29/08/2022;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;9;CargayDescarga 360;Línea;7;35,7;LABORABLES DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,710051126;40,4113711
439867,16;4474189,78;14/11/2022;01  CENTRO;01-01 PALACIO;COMANDANTE LAS MORENAS, PLAZA, DEL;3;CargayDescarga 360;Línea;2;10,5;LABORABLES DE 8 A 15 H EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,708782654;40,41616074
439731,68;4474919,33;15/11/2022;01  CENTRO;01-01 PALACIO;DOCTOR CARRACIDO, CALLE, DEL;1;CargayDescarga 360;Línea;4;20,3;LABORABLES DE 8 A 15 HORAS EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,710448472;40,42272277
439619,86;4474674,54;30/08/2022;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;10;CargayDescarga 360;Línea;3;14,95;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,711743357;40,42051007
439679,47;4474682,5;30/08/2022;01  CENTRO;01-01 PALACIO;GUILLERMO ROLLAND, CALLE, DE;11;CargayDescarga 360;Línea;3;14,2;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,711041541;40,4205857
439714,68;4473619,77;30/08/2022;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;8;CargayDescarga 360;Línea;2;11,75;LABORABLES DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,710525707;40,41101524
439726,26;4473554,17;31/08/2022;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;16;CargayDescarga 360;Línea;2;10,8;LABORABLES DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN.;-3,710383097;40,41042458
439525,62;4473761,86;30/08/2022;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;11;CargayDescarga 360;Línea;2;10,3;LAB. DE 8 A 14 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,712767404;40,41228136
439832,47;4474163,29;29/08/2022;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;48;CargayDescarga 360;Línea;5;23,97;LAB. DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,709188939;40,41591976
439549,55;4474271,97;30/08/2022;01  CENTRO;01-01 PALACIO;NOBLEJAS, CALLE, DE;4;CargayDescarga 360;Línea;2;13,4;LABORABLES DE 8 A 18 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3,712533809;40,41687837
