Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Longitud;Texto Cajetines;Longitud;Latitud;dir
452953,6500000000;4468303,6300000000;30/08/1999; Sin Asignar; Sin Asignar;REAL DE MERINAS, CAÑADA;136;PMR;Batería;1;3;;-3.554105937;40.363976665;REAL DE MERINAS, CAÑADA136
452934,5000000000;4468319,2400000000;29/04/2002; Sin Asignar; Sin Asignar;REAL DE MERINAS, CAÑADA;136;PMR;Batería;2;6;;-3.554332656;40.36411618;REAL DE MERINAS, CAÑADA136
452861,3500000000;4467997,9000000000;29/04/2002; Sin Asignar; Sin Asignar;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL;1;PMR;Línea;1;3;;-3.555170435;40.361216956;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL1
452971,7900000000;4467960,6300000000;30/10/2003; Sin Asignar; Sin Asignar;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL;1;PMR;Línea;1;5,5;;-3.553867071;40.360886933;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL1
452853,2400000000;4468248,4300000000;24/09/2004; Sin Asignar; Sin Asignar;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL;1;PMR;Batería;1;3,5;;-3.555284454;40.363473207;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL1
452883,0400000000;4468130,5200000000;24/09/2004; Sin Asignar; Sin Asignar;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL;1;PMR;;1;3,5;;-3.554924751;40.362413235;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL1
452886,8200000000;4468034,9000000000;15/11/2001; Sin Asignar; Sin Asignar;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL;1;PMR;Línea;1;3,5;;-3.554873185;40.361551506;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL1
453008,6400000000;4468058,9500000000;27/12/2005; Sin Asignar; Sin Asignar;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL;1;PMR;Batería;1;2,6;;-3.553440217;40.361775361;VERTEDERO MUNICIPAL VALDEMINGOMEZ, CARRETERA, DEL1
439581,1100000000;4473584,2300000000;25/09/2018;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;4;PMR;Línea;1;5,5;;-3.712096528;40.410685216;AGUAS, CALLE, DE LAS4
439560,9600000000;4473611,6900000000;02/07/2003;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;10;PMR;Línea;1;5;;-3.712336597;40.410930499;AGUAS, CALLE, DE LAS10
439112,7100000000;4473644,1900000000;24/02/2006;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;3;PMR;Línea;1;5;;-3.717622476;40.411190507;ALGECIRAS, CALLE, DE3
439895,2500000000;4474440,6400000000;02/04/2019;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;5;PMR;Línea;1;6,4;;-3.70847532;40.418422495;ANGELES, COSTANILLA, DE LOS5
439700,4600000000;4474511,4600000000;11/04/2023;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;9;PMR;Línea;1;8;;-3.710777923;40.419046217;ARRIETA, CALLE, DE9
439690,0300000000;4474522,3800000000;11/04/2023;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;11;PMR;Línea;2;16;;-3.710901796;40.419143849;ARRIETA, CALLE, DE11
439697,1500000000;4473416,0000000000;21/09/2021;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;7;PMR;Batería;1;4,4;;-3.710713064;40.409177936;CALATRAVA, CALLE, DE7
439876,0200000000;4474103,4400000000;20/05/1998;01  CENTRO;01-01 PALACIO;CAVA DE SAN MIGUEL, CALLE, DE LA;5;PMR;Línea;1;5,93;;-3.708670126;40.415383584;CAVA DE SAN MIGUEL, CALLE, DE LA5
439766,5100000000;4473668,0300000000;17/12/2019;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;9;PMR;Línea;1;6,5;;-3.709919517;40.411453036;CEBADA, PLAZA, DE LA9
439861,4600000000;4473638,9800000000;17/12/2019;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;16;PMR;Línea;1;7;;-3.708797723;40.411198758;CEBADA, PLAZA, DE LA16
439787,6300000000;4473653,7700000000;17/12/2019;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;17;PMR;Línea;1;6,5;;-3.709669307;40.411326527;CEBADA, PLAZA, DE LA17
439868,0400000000;4474182,0600000000;01/07/2010;01  CENTRO;01-01 PALACIO;COMANDANTE LAS MORENAS, PLAZA, DEL;1;PMR;Línea;1;5;;-3.708771482;40.416091015;COMANDANTE LAS MORENAS, PLAZA, DEL1
439625,8200000000;4474222,4800000000;17/11/2009;01  CENTRO;01-01 PALACIO;CRUZADA, CALLE, DE LA;3;PMR;Línea;2;10;;-3.711630197;40.416437597;CRUZADA, CALLE, DE LA3
439321,1300000000;4473343,8900000000;22/08/1995;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;10;PMR;Línea;1;5,1;RESERVADO:CONDUCTORES VEHICULOSMINUSVALIDOS AUTORIZADOS;-3.715137559;40.408501215;DESCARGAS, CUESTA, DE LAS10
439649,5600000000;4474626,6500000000;19/09/2014;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;4;PMR;Línea;1;5,5;;-3.711388696;40.420080234;ENCARNACION, CALLE, DE LA4
439814,5300000000;4474325,3100000000;01/12/2004;01  CENTRO;01-01 PALACIO;ESCALINATA, CALLE, DE LA;15;PMR;Línea;1;6;;-3.709415773;40.417378165;ESCALINATA, CALLE, DE LA15
439763,0800000000;4474879,4500000000;11/05/2009;01  CENTRO;01-01 PALACIO;FLOR BAJA, CALLE, DE LA;6;PMR;Línea;1;5;;-3.710074732;40.422366278;FLOR BAJA, CALLE, DE LA6
439545,7400000000;4473248,7400000000;24/05/2021;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;5;PMR;Línea;1;6,5;;-3.712481498;40.407659655;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA5
439656,0100000000;4474146,7400000000;28/10/2010;01  CENTRO;01-01 PALACIO;JUAN DE HERRERA, CALLE, DE;1;PMR;Línea;1;5;;-3.711267286;40.415757554;JUAN DE HERRERA, CALLE, DE1
439693,7400000000;4474923,2900000000;01/07/2010;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;43;PMR;Línea;1;5;;-3.710896067;40.422756176;LEGANITOS, CALLE, DE43
439428,5800000000;4474063,4900000000;01/12/2004;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;81;PMR;Batería;2;4;;-3.71393979;40.414991051;MAYOR, CALLE81
439545,4900000000;4473901,6200000000;27/01/2023;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;1;PMR;Línea;1;8;;-3.712546471;40.413541582;MORERIA, CALLE, DE LA1
439394,6300000000;4473811,0200000000;01/10/2018;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;17;PMR;Línea;1;5,5;;-3.71431588;40.412714059;MORERIA, CALLE, DE LA17
439667,3000000000;4473672,3600000000;17/12/2019;01  CENTRO;01-01 PALACIO;PUERTA DE MOROS, PLAZA, DE LA;4;PMR;Línea;1;6,5;;-3.711089211;40.411485122;PUERTA DE MOROS, PLAZA, DE LA4
439549,8300000000;4473789,8900000000;24/09/2019;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;7;PMR;Línea;1;5;;-3.712484707;40.412534953;REDONDILLA, CALLE, DE LA7
439379,4500000000;4473447,8900000000;21/10/2009;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;15;PMR;Línea;1;5;;-3.714460208;40.40944184;ROSARIO, CALLE, DEL15
439605,5800000000;4473838,3000000000;19/04/2017;01  CENTRO;01-01 PALACIO;SAN ANDRES, COSTANILLA, DE;10;PMR;Línea;1;5,5;;-3.711832337;40.412975958;SAN ANDRES, COSTANILLA, DE10
439369,2800000000;4473635,7100000000;11/05/2009;01  CENTRO;01-01 PALACIO;SAN BUENAVENTURA, CALLE, DE;2;PMR;Línea;1;5;;-3.71459789;40.411132982;SAN BUENAVENTURA, CALLE, DE2
439326,6600000000;4473713,4500000000;05/11/2020;01  CENTRO;01-01 PALACIO;SAN BUENAVENTURA, CALLE, DE;14;PMR;Batería;1;5,5;;-3.715107593;40.4118301;SAN BUENAVENTURA, CALLE, DE14
439467,6000000000;4473597,4700000000;17/12/2019;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;16;PMR;Línea;1;6,18;;-3.71343553;40.410795567;SAN FRANCISCO, CARRERA, DE16
439835,0300000000;4473941,3300000000;15/03/2002;01  CENTRO;01-01 PALACIO;SAN JUSTO, CALLE, DE;1;PMR;Línea;1;5,33;;-3.709137888;40.413920193;SAN JUSTO, CALLE, DE1
439707,6900000000;4473835,3800000000;07/03/2012;01  CENTRO;01-01 PALACIO;SAN PEDRO, COSTANILLA, DE;6;PMR;Línea;1;5;;-3.710628553;40.412956821;SAN PEDRO, COSTANILLA, DE6
439827,4100000000;4474703,3100000000;10/03/2003;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, PLAZA, DE;11;PMR;Línea;1;6;;-3.709299749;40.420783941;SANTO DOMINGO, PLAZA, DE11
439886,4600000000;4474678,6100000000;18/03/2022;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, PLAZA, DE;14;PMR;Línea;1;7,9;RESERVADO VEHÍCULOS AUTORIZADOS LABORABLES DE 8 A 15 H.;-3.708601428;40.420565873;SANTO DOMINGO, PLAZA, DE14
439522,9500000000;4473947,2700000000;30/09/2011;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;24;PMR;Línea;1;5;;-3.712816621;40.413951533;SEGOVIA, CALLE, DE24
439321,4700000000;4473936,3200000000;25/04/2013;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;29;PMR;Línea;1;5;;-3.715189984;40.413837859;SEGOVIA, CALLE, DE29
439100,5100000000;4473716,8100000000;13/12/2010;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;15;PMR;Línea;1;5;;-3.717773279;40.411844481;SEGOVIA, RONDA, DE15
439165,7100000000;4473430,7700000000;12/12/2016;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;47;PMR;Línea;1;5,5;;-3.716977383;40.409271958;SEGOVIA, RONDA, DE47
439223,4100000000;4473355,7800000000;31/05/2013;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;55;PMR;Línea;1;5,5;;-3.71629035;40.408601082;SEGOVIA, RONDA, DE55
439485,3500000000;4473218,9900000000;03/12/2008;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;85;PMR;Línea;1;5;;-3.713190304;40.407387901;SEGOVIA, RONDA, DE85
439762,5900000000;4473522,6000000000;18/02/2015;01  CENTRO;01-01 PALACIO;SIERPE, CALLE, DE LA;4;PMR;Línea;1;5,5;;-3.709951947;40.41014314;SIERPE, CALLE, DE LA4
439983,8600000000;4474694,7900000000;13/11/2009;01  CENTRO;01-01 PALACIO;SILVA, CALLE, DE;6A;PMR;Línea;1;5;;-3.707454882;40.420718222;SILVA, CALLE, DE6A
439670,5900000000;4473299,6300000000;03/06/2014;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;98;PMR;Línea;1;5;;-3.711015127;40.408127704;TOLEDO, CALLE, DE98
