CALIFICACION;LUGAR;MES;ANIO;HORA;IMP_BOL;DESCUENTO; PUNTOS;DENUNCIANTE;HECHO-BOL;VEL_LIMITE;VEL_CIRCULA ;COORDENADA-X;COORDENADA-Y                                                                                                                                          
GRAVE     ;AV VENTISQUERO CONDESA 42               ;12;2023;10.28; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439301.79; 4483067.92
GRAVE     ;AV ANDALUCIA ESQ ALCOCER                ;12;2023;10.30; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  441258.69; 4467147.76
GRAVE     ;PO CASTELLANA 167                       ;12;2023;10.31; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  441560.69; 4479431.48
GRAVE     ;VIA LUSITANA - PL ELIPTICA              ;12;2023;10.32; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439132.53; 4470910.90
GRAVE     ;CARAB. ARAVACA - VILLAVICIOSA           ;12;2023;10.35; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  434397.30; 4472312.57
GRAVE     ;PO CASTELLANA 105                       ;12;2023;10.38; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  441556.35; 4478627.48
GRAVE     ;PO CASTELLANA 167                       ;12;2023;10.42; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  441560.69; 4479431.48
GRAVE     ;MENENDEZ PELAYO H. NIÑO JESUS           ;12;2023;10.43; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  442633.05; 4474191.88
GRAVE     ;AV AMERICA - CARTAGENA                  ;12;2023;10.44; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  443037.87; 4476937.06
GRAVE     ;AV FILIPINAS 18                         ;12;2023;10.45; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439856.91; 4477037.97
GRAVE     ;PO CASTELLANA 167                       ;12;2023;10.51; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  441560.69; 4479431.48
GRAVE     ;VIA LUSITANA - PL ELIPTICA              ;12;2023;10.51; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439132.53; 4470910.90
GRAVE     ;ASCAO - EMILIO FERRARI                  ;12;2023;10.52; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  445783.54; 4475923.73
GRAVE     ;AV FILIPINAS 18                         ;12;2023;10.56; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439856.91; 4477037.97
GRAVE     ;AV FILIPINAS 18                         ;12;2023;11.05; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439856.91; 4477037.97
GRAVE     ;CARAB. ARAVACA - VILLAVICIOSA           ;12;2023;11.10; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  434397.30; 4472312.57
GRAVE     ;M. CORBERA - RICARDO ORTIZ              ;12;2023;11.10; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  444461.78; 4475104.19
GRAVE     ;ALBERTO AGUILERA - B. GRACIAN           ;12;2023;11.11; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439802.04; 4475938.23
GRAVE     ;CAMINO DE LOS VINATEROS 47              ;12;2023;11.12; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  444524.76; 4473763.40
GRAVE     ;AV PESETA - CTRA B. FORTUNA             ;12;2023;11.12; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  435089.95; 4469256.88
GRAVE     ;AV LOGROÑO ESQ JOAQUIN IBARRA           ;12;2023;11.13; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  449801.53; 4479233.06
GRAVE     ;AV LOGROÑO ESQ JOAQUIN IBARRA           ;12;2023;11.16; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  449801.53; 4479233.06
GRAVE     ;CAMINO DE LOS VINATEROS 47              ;12;2023;11.16; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  444524.76; 4473763.40
GRAVE     ;VIA LUSITANA - PL ELIPTICA              ;12;2023;11.19; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439132.53; 4470910.90
GRAVE     ;CARAB. ARAVACA - VILLAVICIOSA           ;12;2023;11.19; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  434397.30; 4472312.57
GRAVE     ;VIA LUSITANA - PL ELIPTICA              ;12;2023;11.28; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439132.53; 4470910.90
GRAVE     ;AV ANDALUCIA METRO S.CRISTOBAL          ;12;2023;11.28; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  441264.06; 4466098.35
GRAVE     ;AV FILIPINAS 18                         ;12;2023;11.29; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439856.91; 4477037.97
GRAVE     ;AV FILIPINAS 18                         ;12;2023;11.32; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439856.91; 4477037.97
GRAVE     ;AV FILIPINAS 18                         ;12;2023;11.32; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439856.91; 4477037.97
GRAVE     ;ASCAO - EMILIO FERRARI                  ;12;2023;11.36; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  445783.54; 4475923.73
GRAVE     ;MONFORTE  LEMOS - FINISTERRE            ;12;2023;11.36; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  440583.84; 4481460.37
GRAVE     ;SINESIO DELGADO GTA P. CEBRERO          ;12;2023;11.38; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439798.51; 4480503.35
GRAVE     ;AV FILIPINAS 18                         ;12;2023;11.42; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439856.91; 4477037.97
GRAVE     ;VIA LUSITANA - PL ELIPTICA              ;12;2023;11.43; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439132.53; 4470910.90
GRAVE     ;PO CASTELLANA 105                       ;12;2023;11.45; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  441556.35; 4478627.48
GRAVE     ;M. CORBERA - RICARDO ORTIZ              ;12;2023;11.47; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  444461.78; 4475104.19
GRAVE     ;AV FILIPINAS 18                         ;12;2023;11.51; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439856.91; 4477037.97
GRAVE     ;PO CASTELLANA 105                       ;12;2023;12.13; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  441556.35; 4478627.48
GRAVE     ;HERMANOS GARCIA NOBLEJAS 123            ;12;2023;12.15; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  447053.81; 4474832.37
GRAVE     ;M. CORBERA - RICARDO ORTIZ              ;12;2023;12.16; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  444461.78; 4475104.19
GRAVE     ;VIA LUSITANA - PL ELIPTICA              ;12;2023;12.18; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439132.53; 4470910.90
GRAVE     ;JOAQUIN COSTA - VELAZQUEZ               ;12;2023;12.18; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  442175.51; 4477326.00
GRAVE     ;CARAB. ARAVACA - VILLAVICIOSA           ;12;2023;12.21; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  434397.30; 4472312.57
GRAVE     ;VIA LUSITANA - PL ELIPTICA              ;12;2023;12.22; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439132.53; 4470910.90
GRAVE     ;MONFORTE  LEMOS - FINISTERRE            ;12;2023;12.22; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  440583.84; 4481460.37
GRAVE     ;AV VENTISQUERO CONDESA 42               ;12;2023;12.23; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439301.79; 4483067.92
GRAVE     ;GRAL RICARDOS - QUINCE MAYO             ;12;2023;12.32; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439232.86; 4472262.78
GRAVE     ;ALBERTO AGUILERA - B. GRACIAN           ;12;2023;12.32; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439802.04; 4475938.23
GRAVE     ;VIA LUSITANA - PL ELIPTICA              ;12;2023;12.35; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439132.53; 4470910.90
GRAVE     ;AV ANDALUCIA ESQ ALCOCER                ;12;2023;12.36; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  441258.69; 4467147.76
GRAVE     ;JOAQUIN COSTA - VELAZQUEZ               ;12;2023;12.38; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  442175.51; 4477326.00
GRAVE     ;VIA LUSITANA - PL ELIPTICA              ;12;2023;12.39; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439132.53; 4470910.90
GRAVE     ;AV FILIPINAS 18                         ;12;2023;12.42; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439856.91; 4477037.97
GRAVE     ;VIA LUSITANA - PL ELIPTICA              ;12;2023;12.43; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439132.53; 4470910.90
GRAVE     ;JOAQUIN COSTA - VELAZQUEZ               ;12;2023;12.46; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  442175.51; 4477326.00
GRAVE     ;AV MEDITERRANEO 32                      ;12;2023;12.48; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  443017.57; 4473349.72
GRAVE     ;AV FILIPINAS 18                         ;12;2023;12.51; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  439856.91; 4477037.97
GRAVE     ;PO CASTELLANA 105                       ;12;2023;12.59; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  441556.35; 4478627.48
GRAVE     ;PO CASTELLANA 105                       ;12;2023;12.59; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  441556.35; 4478627.48
GRAVE     ;FRANCISCO SILVELA 62                    ;12;2023;13.09; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  442840.13; 4476506.58
GRAVE     ;AV AMERICA - CARTAGENA                  ;12;2023;13.09; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  443037.87; 4476937.06
GRAVE     ;AV ANDALUCIA METRO S.CRISTOBAL          ;12;2023;13.10; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  441264.06; 4466098.35
GRAVE     ;JOAQUIN COSTA - VELAZQUEZ               ;12;2023;13.13; 200.00;SI;4;MEDIOS DE CAPTACION DE IMAGEN ;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;   ;   ;  442175.51; 4477326.00
