Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Longitud;Texto Cajetines;Longitud;Latitud
439587,2800000000;4473509,2200000000;09/08/2023;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;1;Moto 360;Línea;18;20;;-3,7120167150;40,4100092970
439587,7200000000;4473915,0900000000;25/07/2023;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;1;Moto 360;Línea;14;15;LABORABLES DE LUNES A VIERNES DE 8 A 20 HORAS;-3,7120501180;40,4136657420
439677,9300000000;4474298,7700000000;25/07/2023;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;7;Moto 360;Línea;9;10;LABORABLES DE LUNES A VIERNES DE 8 A 20 H.;-3,7110233780;40,4171290430
439706,5200000000;4473415,0100000000;03/08/2023;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;5;Moto 360;Línea;13;13,3;LABORABLES DE LUNES A VIERNES DE 8 A 20 H.;-3,7106025980;40,4091697420
439798,1600000000;4474465,9700000000;18/11/2022;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;1;Moto 360;Línea;18;20;RESERVA DE MOTOS;-3,7096220950;40,4186438860
439833,8600000000;4474547,6300000000;03/06/2023;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;11;Moto 360;Línea;18;20,9;LABORABLES DE LUNES A VIERNES DE 8 A 20 H.;-3,7092089920;40,4193821420
439725,6100000000;4473693,4100000000;25/07/2023;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;38;Moto 360;Línea;11;12;LABORABLES DE LUNES A VIERNES DE 8 A 20 HORAS.;-3,7104039530;40,4116792970
439740,2800000000;4473701,4900000000;25/07/2023;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;38;Moto 360;Línea;9;10;LABORABLES DE LUNES A VIERNES DE 8 A 20 HORAS;-3,7102318370;40,4117529230
439746,7400000000;4473583,1100000000;15/11/2022;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;7;Moto 360;Línea;23;25;LABORABLES DE LUNES A VIERNES DE 8 A 20 HORAS;-3,7101445180;40,4106869350
439792,9100000000;4473663,5600000000;03/08/2023;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;7;Moto 360;Línea;8;10,3;LABORABLES DE LUNES A VIERNES DE 8 A 20 H.;-3,7096080000;40,4114150490
439612,8700000000;4473940,5900000000;21/12/2011;01  CENTRO;01-01 PALACIO;CRUZ VERDE, PLAZA, DE LA;4;Moto;Línea;7;8;LABORABLES DE LUNES A VIERNES DE 8 A 20 H.;-3,7117560760;40,4138970450
439471,7000000000;4473704,4300000000;23/02/2022;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;14;Moto 360;Línea;18;20;LABORABLES DE LUNES A VIERNES DE 8 A 20 H.;-3,7133974280;40,4117592820
439631,0300000000;4474660,6900000000;11/07/2018;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;8;Moto;Línea;18;19,37;;-3,7116104300;40,4203857350
439772,1600000000;4474321,7100000000;05/07/2018;01  CENTRO;01-01 PALACIO;ESPEJO, CALLE, DEL;14;Moto;Línea;9;10;;-3,7099148760;40,4173427560
439731,8100000000;4473514,1500000000;14/08/2020;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;11;Moto;Línea;20;23,4;;-3,7103138270;40,4100644730
439727,0700000000;4473528,0800000000;14/08/2020;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;18;Moto;Línea;13;15;;-3,7103710080;40,4101898360
439767,4600000000;4474366,6900000000;13/07/2018;01  CENTRO;01-01 PALACIO;INDEPENDENCIA, CALLE, DE LA;4;Moto;Línea;9;10;LABORABLES DE LUNES A VIERNES DE 8 A 20 HORAS;-3,7099744640;40,4177470350
439804,7000000000;4474446,1400000000;28/07/2020;01  CENTRO;01-01 PALACIO;ISABEL II, PLAZA, DE;5;Moto;Línea;14;15;;-3,7095430840;40,4184654670
439782,8200000000;4474763,6500000000;11/09/2023;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;8;Moto 360;Línea;20;26,6;LABORABLES DE LUNES A VIERNES 8 A 20 H.;-3,7098309950;40,4213242400
439357,4200000000;4473436,1300000000;11/11/2022;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;19;Moto 360;Línea;9;10;LABORABLES DE LUNES A VIERNES DE 8 A 20 H.;-3,7147186690;40,4093347540
439577,6800000000;4474073,0900000000;27/07/2011;01  CENTRO;01-01 PALACIO;SACRAMENTO, CALLE, DEL;12;Moto;Línea;9;10;;-3,7121834450;40,4150884540
439443,2900000000;4473419,0600000000;11/11/2022;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;8;Moto 360;Línea;13;15;LABORABLES DE LUNES A VIERNES DE 8 A 20 H.;-3,7137049920;40,4091866450
